Name	Taxonomy in SILVA v123
RB_family133	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
RB_family134	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;KD3-93
RB_family135	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA
RB_family136	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NS11-12_marine_group
RB_family137	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;PHOS-HE51
RB_family138	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
RB_family139	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
RB_family140	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;WCHB1-69
RB_family141	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;env.OPS_17
RB_family142	Bacteria;Bacteroidetes;WCHB1-32;NA;NA
RB_family143	Bacteria;CKC4;NA;NA;NA
RB_family144	Bacteria;Candidate_division_OP3;NA;NA;NA
RB_family145	Bacteria;Candidate_division_SR1;NA;NA;NA
RB_family146	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae
RB_family147	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiales_Incertae_Sedis
RB_family148	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;NA
RB_family149	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae
RB_family150	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae
RB_family151	Bacteria;Chlorobi;Chlorobia;Chlorobiales;OPB56
RB_family152	Bacteria;Chlorobi;Chlorobia;Chlorobiales;SJA-28
RB_family153	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;IheB3-7
RB_family154	Bacteria;Chlorobi;Ignavibacteria;Ignavibacteriales;NA
RB_family155	Bacteria;Chlorobi;NA;NA;NA
RB_family156	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae
RB_family157	Bacteria;Chloroflexi;Ardenticatenia;Ardenticatenales;NA
RB_family158	Bacteria;Chloroflexi;Ardenticatenia;NA;NA
RB_family159	Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae
RB_family160	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae
RB_family161	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae
RB_family162	Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae
RB_family163	Bacteria;Chloroflexi;Chloroflexia;Kallotenuales;AKIW781
RB_family164	Bacteria;Chloroflexi;Gitt-GS-136;NA;NA
RB_family165	Bacteria;Chloroflexi;JG30-KF-CM66;NA;NA
RB_family166	Bacteria;Chloroflexi;JG37-AG-4;NA;NA
RB_family167	Bacteria;Chloroflexi;KD4-96;NA;NA
RB_family168	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;NA
RB_family169	Bacteria;Chloroflexi;Ktedonobacteria;NA;NA
RB_family170	Bacteria;Chloroflexi;NA;NA;NA
RB_family171	Bacteria;Chloroflexi;P2-11E;NA;NA
RB_family172	Bacteria;Chloroflexi;S085;NA;NA
RB_family173	Bacteria;Chloroflexi;SAR202_clade;NA;NA
RB_family174	Bacteria;Chloroflexi;TK10;NA;NA
RB_family175	Bacteria;Chloroflexi;Thermomicrobia;AKYG1722;NA
RB_family176	Bacteria;Chloroflexi;Thermomicrobia;JG30-KF-CM45;NA
RB_family177	Bacteria;Chloroflexi;Thermomicrobia;NA;NA
RB_family178	Bacteria;Cloacimonetes;LNR_A2-18;NA;NA
RB_family179	Bacteria;Cyanobacteria;Chloroplast;NA;NA
RB_family180	Bacteria;Cyanobacteria;Cyanobacteria;NA;NA
RB_family181	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI
RB_family182	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;FamilyII
RB_family183	Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI
RB_family184	Bacteria;Cyanobacteria;ML635J-21;NA;NA
RB_family185	Bacteria;Cyanobacteria;Melainabacteria;Caenarcaniphilales;NA
RB_family186	Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;NA
RB_family187	Bacteria;Cyanobacteria;Melainabacteria;Obscuribacterales;NA
RB_family188	Bacteria;Cyanobacteria;Melainabacteria;Vampirovibrionales;NA
RB_family189	Bacteria;Cyanobacteria;NA;NA;NA
RB_family190	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae
RB_family191	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae
RB_family192	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Trueperaceae
RB_family193	Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae
RB_family194	Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae
RB_family195	Bacteria;Elusimicrobia;Elusimicrobia;Lineage_IIb;NA
RB_family196	Bacteria;Elusimicrobia;Elusimicrobia;Lineage_IV;NA
RB_family197	Bacteria;Elusimicrobia;Elusimicrobia;Lineage_I_(Endomicrobia);NA
RB_family198	Bacteria;Elusimicrobia;Elusimicrobia;NA;NA
RB_family199	Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae
RB_family200	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae
RB_family201	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae
RB_family202	Bacteria;Firmicutes;Bacilli;Bacillales;Family_X
RB_family203	Bacteria;Firmicutes;Bacilli;Bacillales;Family_XI
RB_family204	Bacteria;Firmicutes;Bacilli;Bacillales;Family_XII
RB_family205	Bacteria;Firmicutes;Bacilli;Bacillales;NA
RB_family206	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae
RB_family207	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae
RB_family208	Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae
RB_family209	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae
RB_family210	Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae
RB_family211	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae
RB_family212	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
RB_family213	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae
RB_family214	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae
RB_family215	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae
RB_family216	Bacteria;Firmicutes;Bacilli;Lactobacillales;NA
RB_family217	Bacteria;Firmicutes;Bacilli;Lactobacillales;P5D1-392
RB_family218	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae
RB_family219	Bacteria;Firmicutes;Bacilli;NA;NA
RB_family220	Bacteria;Firmicutes;Bacilli;RS-F29;NA
RB_family221	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae
RB_family222	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1
RB_family223	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group
RB_family224	Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae
RB_family225	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae
